               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058625,            0.025147,            0.028294,              0.7861,             0.15202,             0.11636,            0.042784,            0.034611,            0.008756,            0.022171,            0.070029,           0.0033302,           0.0033302
                   1,            0.041813,            0.020252,             0.02029,             0.72295,             0.18159,             0.14236,            0.050734,            0.030294,           0.0075966,            0.020424,            0.039897,           0.0065316,           0.0065316
                   2,            0.039661,            0.018788,            0.019359,             0.73083,             0.16959,              0.1336,            0.049527,            0.033582,           0.0075196,            0.020141,           0.0096327,            0.009601,            0.009601
                   3,            0.037261,            0.018716,            0.018939,             0.74685,             0.19642,              0.1718,            0.074401,            0.029285,           0.0075401,            0.018497,            0.009406,            0.009406,            0.009406
                   4,            0.035345,            0.018299,            0.019211,             0.65986,             0.21373,             0.19083,            0.077444,            0.030435,           0.0071486,             0.01736,            0.009406,            0.009406,            0.009406
                   5,            0.032122,            0.017506,             0.01763,             0.61104,             0.24931,             0.21964,             0.10241,            0.026541,           0.0069411,            0.016782,            0.009208,            0.009208,            0.009208
                   6,            0.030961,            0.016793,             0.01685,             0.67746,             0.31247,             0.27818,             0.12761,            0.026213,           0.0067702,            0.015438,             0.00901,             0.00901,             0.00901
                   7,            0.029836,            0.016549,            0.015788,             0.68696,             0.32647,             0.28155,             0.13546,             0.02568,           0.0069023,             0.01387,            0.008812,            0.008812,            0.008812
                   8,            0.028949,            0.016311,            0.015503,              0.6909,             0.31484,             0.28086,             0.13875,            0.025834,           0.0065745,            0.013643,            0.008614,            0.008614,            0.008614
                   9,            0.028398,            0.015924,            0.014955,             0.73642,             0.31812,             0.33454,             0.17195,            0.024128,           0.0065945,            0.012493,            0.008416,            0.008416,            0.008416
                  10,            0.027157,            0.015719,            0.014323,             0.74735,             0.30684,             0.32402,             0.16699,             0.02514,           0.0063751,             0.01336,            0.008218,            0.008218,            0.008218
                  11,            0.027019,            0.015427,            0.014201,             0.79197,             0.29057,             0.34192,             0.18443,            0.024372,           0.0065799,            0.012039,             0.00802,             0.00802,             0.00802
                  12,             0.02602,             0.01482,            0.013293,             0.77696,               0.295,             0.33866,             0.18552,             0.02317,           0.0062013,            0.013378,            0.007822,            0.007822,            0.007822
                  13,            0.025676,            0.015078,            0.013705,             0.79081,             0.33415,             0.35951,             0.19896,            0.023075,           0.0062258,            0.012396,            0.007624,            0.007624,            0.007624
                  14,            0.025522,            0.014721,            0.013229,             0.77944,             0.34341,             0.35959,             0.19962,            0.023138,           0.0062104,            0.012341,            0.007426,            0.007426,            0.007426
                  15,            0.025095,             0.01447,            0.012567,             0.76292,             0.34144,             0.34993,             0.19981,            0.023257,           0.0060206,            0.013182,            0.007228,            0.007228,            0.007228
                  16,            0.023915,            0.014415,            0.012036,             0.78594,             0.33028,             0.36825,             0.21356,            0.022106,           0.0059609,            0.015159,             0.00703,             0.00703,             0.00703
                  17,            0.023543,            0.013724,            0.011573,             0.77241,             0.33709,             0.34098,             0.19825,            0.023141,           0.0063202,            0.013576,            0.006832,            0.006832,            0.006832
                  18,             0.02309,            0.013651,            0.011138,             0.79996,             0.34081,             0.36478,             0.21848,            0.022975,           0.0060428,            0.012386,            0.006634,            0.006634,            0.006634
